# 2024.12.21 created by TopoDroid v 6.2.86
# Laci-zsomboly
# from to tape compass clino extend flags (declination undefined)
# units tape meters compass clino degrees
alias,18@Laci-zsomboly,18@Laci_Fogadalom
alias,21@Laci-zsomboly,21@Laci-zsomboly_Paludárium
alias,Lapi0@Lapidárium,Padf24@Padulárium_felső
alias,Pa14@Laci-zsomboly_Paludárium,Padf1@Padulárium_felső
alias,Lapi46@Lapidárium,Plm0@Plöm_plöm
-1@Laci-zsomboly,0@Laci-zsomboly,6.14,340.0,-23.3,1,,
1@Laci-zsomboly,0@Laci-zsomboly,5.10,346.8,54.6,1,,
1@Laci-zsomboly,-,0.46,5.7,31.2,,,
1@Laci-zsomboly,-,1.23,343.6,29.6,,,
1@Laci-zsomboly,-,1.92,327.7,27.6,,,
1@Laci-zsomboly,-,1.25,303.4,25.0,,,
1@Laci-zsomboly,-,0.66,269.4,21.5,,,
1@Laci-zsomboly,-,1.45,297.6,44.7,,,
1@Laci-zsomboly,-,1.99,317.6,50.5,,,
1@Laci-zsomboly,-,3.97,333.4,49.5,,,
1@Laci-zsomboly,-,4.12,346.7,48.9,,,
1@Laci-zsomboly,-,0.51,357.6,-48.5,,,
1@Laci-zsomboly,-,1.25,340.0,-23.5,,,
1@Laci-zsomboly,-,1.65,324.3,-15.1,,,
1@Laci-zsomboly,-,1.03,300.7,-4.4,,,
1@Laci-zsomboly,-,1.05,277.1,-43.2,,,
1@Laci-zsomboly,-,1.29,253.8,-54.3,,,
1@Laci-zsomboly,-,3.90,286.2,-72.4,,,
1@Laci-zsomboly,-,2.34,336.6,-74.2,,,
1@Laci-zsomboly,-,2.29,243.9,-85.1,,,
1@Laci-zsomboly,-,2.12,197.8,-73.5,,,
1@Laci-zsomboly,-,0.67,185.9,-53.0,,,
1@Laci-zsomboly,-,0.18,244.9,-80.5,,,
1@Laci-zsomboly,-,0.20,245.1,-80.5,,,
1@Laci-zsomboly,-,0.18,245.2,-80.4,,,
1@Laci-zsomboly,-,0.62,38.2,77.5,,,
1@Laci-zsomboly,-,7.05,245.4,-80.3,,,
1@Laci-zsomboly,-,7.27,245.2,-80.6,,,
1@Laci-zsomboly,-,0.20,57.8,-47.4,,,
1@Laci-zsomboly,-,7.01,245.7,-80.5,,,
1@Laci-zsomboly,-,2.24,244.4,-71.6,,,
1@Laci-zsomboly,2@Laci-zsomboly,7.08,245.3,-80.5,1,,
2@Laci-zsomboly,-,0.68,72.1,42.8,,,
2@Laci-zsomboly,-,1.64,100.9,33.0,,,
2@Laci-zsomboly,-,1.81,115.0,21.0,,,
2@Laci-zsomboly,-,2.57,145.4,19.7,,,
2@Laci-zsomboly,-,3.10,152.7,15.2,,,
2@Laci-zsomboly,-,3.11,161.0,13.7,,,
2@Laci-zsomboly,-,2.09,165.6,12.1,,,
2@Laci-zsomboly,-,1.37,174.1,17.3,,,
2@Laci-zsomboly,-,2.49,183.0,13.1,,,
2@Laci-zsomboly,-,2.41,188.9,12.8,,,
2@Laci-zsomboly,-,1.33,200.8,16.4,,,
2@Laci-zsomboly,-,1.30,219.9,22.4,,,
2@Laci-zsomboly,-,1.76,250.0,35.7,,,
2@Laci-zsomboly,-,2.13,272.4,34.7,,,
2@Laci-zsomboly,-,2.05,281.4,40.3,,,
2@Laci-zsomboly,-,1.38,293.9,47.1,,,
2@Laci-zsomboly,-,1.52,319.3,56.8,,,
2@Laci-zsomboly,-,1.48,341.7,59.1,,,
2@Laci-zsomboly,-,6.36,39.9,76.1,,,
2@Laci-zsomboly,-,0.76,181.0,-67.6,,,
2@Laci-zsomboly,4@Laci-zsomboly,1.44,173.4,12.0,1,,bebújás sál szemben kint
4@Laci-zsomboly,5@Laci-zsomboly,2.39,358.9,-31.8,1,,
5@Laci-zsomboly,-,1.27,307.7,-9.7,,,
5@Laci-zsomboly,-,3.30,323.3,-13.9,,,
5@Laci-zsomboly,-,3.73,332.0,-14.1,,,
5@Laci-zsomboly,-,3.90,341.9,-15.5,,,
5@Laci-zsomboly,-,4.15,352.0,-11.9,,,
5@Laci-zsomboly,-,4.48,3.3,-12.4,,,
5@Laci-zsomboly,-,4.31,16.1,-12.6,,,
5@Laci-zsomboly,-,3.71,28.2,-13.7,,,
5@Laci-zsomboly,-,3.96,35.9,-17.1,,,
5@Laci-zsomboly,-,0.95,107.8,0.3,,,
5@Laci-zsomboly,-,1.13,83.4,-8.3,,,
5@Laci-zsomboly,-,4.18,57.6,-20.5,,,
5@Laci-zsomboly,-,4.46,49.2,-20.5,,,
5@Laci-zsomboly,-,1.62,47.0,-13.3,,,
5@Laci-zsomboly,-,1.61,57.9,-11.4,,,
5@Laci-zsomboly,-,4.03,79.3,-14.2,,,
5@Laci-zsomboly,6@Laci-zsomboly,3.07,61.7,-19.5,1,,
6@Laci-zsomboly,-,4.14,321.5,3.9,,,
6@Laci-zsomboly,-,4.06,306.0,6.7,,,
